"performance_rule_id","card_id","base_spend_amount","base_spend_period","base_spend_method","discounted_spend_counts_for_performance","discounted_spend_count_ratio","base_spend_description","exported_at"
"naver-card-1571-performance-1","naver-card-1571","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-2776-performance-1","naver-card-2776","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10126-performance-1","naver-card-10126","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10238-performance-1","naver-card-10238","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-2676-performance-1","naver-card-2676","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-1465-performance-1","naver-card-1465","0","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10103-performance-1","naver-card-10103","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-3881-performance-1","naver-card-3881","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10328-performance-1","naver-card-10328","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10406-performance-1","naver-card-10406","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10355-performance-1","naver-card-10355","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10256-performance-1","naver-card-10256","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10589-performance-1","naver-card-10589","0","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10451-performance-1","naver-card-10451","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10268-performance-1","naver-card-10268","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10463-performance-1","naver-card-10463","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10236-performance-1","naver-card-10236","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10592-performance-1","naver-card-10592","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-3896-performance-1","naver-card-3896","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10049-performance-1","naver-card-10049","1000000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10590-performance-1","naver-card-10590","0","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10450-performance-1","naver-card-10450","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10235-performance-1","naver-card-10235","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10568-performance-1","naver-card-10568","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10579-performance-1","naver-card-10579","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10184-performance-1","naver-card-10184","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-3878-performance-1","naver-card-3878","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10349-performance-1","naver-card-10349","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10311-performance-1","naver-card-10311","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-3857-performance-1","naver-card-3857","240000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10550-performance-1","naver-card-10550","150000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10315-performance-1","naver-card-10315","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10480-performance-1","naver-card-10480","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10237-performance-1","naver-card-10237","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10523-performance-1","naver-card-10523","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10462-performance-1","naver-card-10462","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-247-performance-1","naver-card-247","0","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-4047-performance-1","naver-card-4047","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10596-performance-1","naver-card-10596","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-1695-performance-1","naver-card-1695","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10284-performance-1","naver-card-10284","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10552-performance-1","naver-card-10552","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10071-performance-1","naver-card-10071","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-3959-performance-1","naver-card-3959","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10593-performance-1","naver-card-10593","0","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10512-performance-1","naver-card-10512","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10511-performance-1","naver-card-10511","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10554-performance-1","naver-card-10554","0","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10454-performance-1","naver-card-10454","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-3856-performance-1","naver-card-3856","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10536-performance-1","naver-card-10536","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10106-performance-1","naver-card-10106","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
